protein name	cluster
HAND1	65
PDZD4	65
NEUROG3	65
ASCL3	65
MYOD1	65
ANKRD29	66
HLCS	66
MED19	66
USP32	66
SPATA46	66
GTF2H5	66
ZNHIT1	67
CHRD	67
LCE3D	67
FBLN1	67
KRTAP5-6	67
B4GALT7	67
KRTAP8-1	67
HDHD3	67
FBXO34	67
CES1	67
INTS11	67
KRTAP13-3	67
TNS2	67
RHOXF2	67
KRTAP2-3	67
HOXB9	67
VWC2L	67
CD300LG	67
VWC2	67
CTRC	67
ZNF440	67
SLC23A1	67
TEX45	67
NSD1	67
RGS17	67
C19orf54	67
DMRT3	67
MELTF	67
TGFB1	67
KPRP	67
FUCA2	67
CLEC18A	67
CYSRT1	67
MYOM1	67
RNF38	67
FAM76B	67
LCE3C	67
MXD3	67
KRTAP4-1	67
GMNN	67
VSTM4	67
FAM168B	67
PCSK5	67
KRTAP5-9	67
PRDM14	67
LCE1D	67
HSPB2-C11orf52	67
ZNF266	67
CST9L	67
INS	67
ZNF473	67
SMOC1	67
RSPO2	67
KRTAP19-2	67
DMRTB1	67
DOCK2	67
RBP3	67
CSKMT	67
WNT11	67
ALPP	67
SPRED2	67
MRPL23	67
TEX37	67
ADAMTSL4	67
TGM1	67
KHDRBS3	67
FBLN2	67
MSX2	67
NMU	67
CCER1	67
GGN	67
GATA2	67
MRPL40	67
LCE5A	67
HCK	67
SMUG1	67
MFSD13A	67
PITX2	67
NUBP2	67
P2RX7	67
NPBWR2	67
NKD1	67
KLK8	67
R3HDM2	67
CPSF7	67
C11orf87	67
KRTAP4-12	67
POU4F2	67
LCE1B	67
LELP1	67
CDPF1	67
GNE	67
CCDC17	67
RANBP3	67
ZNF552	67
LCE2C	67
SYNGAP1	67
JOSD1	67
KRTAP19-3	67
NECTIN2	67
PLSCR4	67
PHAF1	67
KRTAP9-8	67
PTGDS	67
CERK	67
DALRD3	67
KCTD15	67
RSPO4	67
POU4F3	67
MT1M	67
TAPBPL	67
KRTAP5-2	67
TENM4	67
IGSF8	67
MAPKBP1	67
ECM1	67
UTP23	67
C2orf68	67
KLHL26	67
CELF5	67
CYHR1	67
SLC22A5	67
TRIM42	67
SLC12A4	67
ZNF837	67
PRDM6	67
SPATA24	67
CERCAM	67
SHFL	67
ZNF491	67
ZNF319	67
PNMA2	67
SPATA8	67
CNFN	67
KRTAP10-5	67
NR4A3	67
KRTAP1-5	67
ADAMTSL5	67
ITGB5	67
BRME1	67
ESR2	67
KRTAP5-7	67
ITGB4	67
KRTAP13-1	67
C11orf16	67
NHLRC4	67
FEZF1	67
ODF1	67
MRGBP	67
PIGS	67
SH3RF2	67
KRTAP12-4	67
POTEB3	67
SLIT1	67
IPO13	67
KRTAP10-10	67
PRR30	67
QPRT	67
CRCT1	67
PEAR1	67
KRTAP5-8	67
KRTAP5-4	67
CCDC28A-AS1	67
LCE1E	67
KHDRBS2	67
KRTAP4-4	67
RERE	67
KRTAP13-4	67
CST2	67
ZNF696	67
ZNF843	67
MACO1	67
TBX2	67
PHLDA1	67
KRTAP13-2	67
